泗泾,36.2657126,134.9955636,佘山,36.2484186,134.9610522,9,121,200,237
佘山,36.2484186,134.9610522,洞泾,36.2222666,134.9618954,9,121,200,237
洞泾,36.2222666,134.9618954,松江大学城,36.1830129,134.96433,9,121,200,237
松江大学城,36.1830129,134.96433,松江新城,36.1522017,134.9621679,9,121,200,237
松江新城,36.1522017,134.9621679,松江体育中心,36.1338977,134.9620196,9,121,200,237
松江体育中心,36.1338977,134.9620196,醉白池,36.1144315,134.9605765,9,121,200,237
醉白池,36.1144315,134.9605765,松江南站,36.0937137,134.9626336,9,121,200,237
莘庄,36.2561449,135.1340074,外环路,36.2695344,135.143125,1,233,27,57
外环路,36.2695344,135.143125,莲花路,36.2822227,135.153723,1,233,27,57
莲花路,36.2822227,135.153723,锦江乐园,36.2972063,135.1663539,1,233,27,57
锦江乐园,36.2972063,135.1663539,上海南站,36.3138371,135.1837122,1,233,27,57
上海南站,36.3138371,135.1837122,漕宝路,36.3311285,135.1895288,1,233,27,57
漕宝路,36.3311285,135.1895288,上海体育馆,36.3490404,135.1910132,1,233,27,57
上海体育馆,36.3490404,135.1910132,徐家汇,36.3630158,135.1931404,1,233,27,57
徐家汇,36.3630158,135.1931404,衡山路,36.3788034,135.2025108,1,233,27,57
衡山路,36.3788034,135.2025108,常熟路,36.3899365,135.2075948,1,233,27,57
常熟路,36.3899365,135.2075948,陕西南路,36.3945527,135.2175527,1,233,27,57
陕西南路,36.3945527,135.2175527,黄陂南路,36.4013636,135.2321639,1,233,27,57
黄陂南路,36.4013636,135.2321639,人民广场,36.4145087,135.2342794,1,233,27,57
人民广场,36.4145087,135.2342794,新闸路,36.4220216,135.2266022,1,233,27,57
新闸路,36.4220216,135.2266022,汉中路,36.4260496,135.2156908,1,233,27,57
汉中路,36.4260496,135.2156908,上海火车站,36.4335696,135.2127657,1,233,27,57
上海火车站,36.4335696,135.2127657,中山北路,36.4486824,135.2163761,1,233,27,57
中山北路,36.4486824,135.2163761,延长路,36.4652517,135.2122319,1,233,27,57
延长路,36.4652517,135.2122319,上海马戏城,36.4753426,135.208458,1,233,27,57
上海马戏城,36.4753426,135.208458,汶水路,36.4921552,135.2062955,1,233,27,57
汶水路,36.4921552,135.2062955,彭浦新村,36.5104706,135.2046661,1,233,27,57
彭浦新村,36.5104706,135.2046661,共康路,36.5265648,135.2028491,1,233,27,57
共康路,36.5265648,135.2028491,通河新村,36.5427011,135.1965624,1,233,27,57
通河新村,36.5427011,135.1965624,呼兰路,36.5533274,135.1925196,1,233,27,57
呼兰路,36.5533274,135.1925196,共富新村,36.5735179,135.1883706,1,233,27,57
共富新村,36.5735179,135.1883706,宝安公路,36.592524,135.1849185,1,233,27,57
宝安公路,36.592524,135.1849185,友谊西路,36.607488,135.181555,1,233,27,57
友谊西路,36.607488,135.181555,富锦路,36.6216882,135.1778752,1,233,27,57
徐泾东,36.3582064,135.0403868,虹桥火车站,36.3645322,135.0630775,2,138,197,63
虹桥火车站,36.3645322,135.0630775,虹桥2号航站楼,36.3648491,135.0690528,2,138,197,63
虹桥2号航站楼,36.3648491,135.0690528,淞虹路,36.3952041,135.1052573,2,138,197,63
淞虹路,36.3952041,135.1052573,北新泾,36.3927515,135.1217808,2,138,197,63
北新泾,36.3927515,135.1217808,威宁路,36.3906537,135.1362873,2,138,197,63
威宁路,36.3906537,135.1362873,娄山关路,36.3860868,135.1553749,2,138,197,63
娄山关路,36.3860868,135.1553749,中山公园,36.3960077,135.1705611,2,138,197,63
中山公园,36.3960077,135.1705611,江苏路,36.3980205,135.186691,2,138,197,63
江苏路,36.3980205,135.186691,静安寺,36.4023999,135.2020067,2,138,197,63
静安寺,36.4023999,135.2020067,南京西路,36.4109275,135.2176726,2,138,197,63
南京西路,36.4109275,135.2176726,人民广场,36.414367,135.2315779,2,138,197,63
人民广场,36.414367,135.2315779,南京东路,36.4197056,135.2438707,2,138,197,63
南京东路,36.4197056,135.2438707,陆家嘴,36.4206463,135.2644763,2,138,197,63
陆家嘴,36.4206463,135.2644763,东昌路,36.4147409,135.2791411,2,138,197,63
东昌路,36.4147409,135.2791411,世纪大道,36.409262,135.2918735,2,138,197,63
世纪大道,36.409262,135.2918735,上海科技馆,36.3971807,135.3110043,2,138,197,63
上海科技馆,36.3971807,135.3110043,世纪公园,36.3847582,135.3183016,2,138,197,63
世纪公园,36.3847582,135.3183016,龙阳路,36.3763338,135.3256907,2,138,197,63
龙阳路,36.3763338,135.3256907,张江高科,36.3743271,135.3593621,2,138,197,63
张江高科,36.3743271,135.3593621,金科路,36.3769862,135.3754993,2,138,197,63
金科路,36.3769862,135.3754993,广兰路,36.3857024,135.396234,2,138,197,63
花木路,36.3868784,135.3317173,龙阳路,36.3769952,135.325938,7,243,113,33
龙阳路,36.3769952,135.325938,芳华路,36.3635163,135.317525,7,243,113,33
芳华路,36.3635163,135.317525,锦绣路,36.3560517,135.3063038,7,243,113,33
锦绣路,36.3560517,135.3063038,杨高南路,36.3556455,135.2898881,7,243,113,33
杨高南路,36.3556455,135.2898881,高科西路,36.3528395,135.272905,7,243,113,33
高科西路,36.3528395,135.272905,云台路,36.3482758,135.262743,7,243,113,33
云台路,36.3482758,135.262743,耀华路,36.3435151,135.2559041,7,243,113,33
耀华路,36.3435151,135.2559041,长清路,36.3386542,135.2464656,7,243,113,33
长清路,36.3386542,135.2464656,后滩,36.3354865,135.2324275,7,243,113,33
后滩,36.3354865,135.2324275,龙华中路,36.3528716,135.2138862,7,243,113,33
龙华中路,36.3528716,135.2138862,东安路,36.3609723,135.2111683,7,243,113,33
东安路,36.3609723,135.2111683,肇嘉浜路,36.3706275,135.2064382,7,243,113,33
肇嘉浜路,36.3706275,135.2064382,常熟路,36.3900218,135.2051482,7,243,113,33
常熟路,36.3900218,135.2051482,静安寺,36.4020101,135.2046633,7,243,113,33
静安寺,36.4020101,135.2046633,昌平路,36.4165505,135.1975968,7,243,113,33
昌平路,36.4165505,135.1975968,长寿路,36.4240388,135.1931364,7,243,113,33
长寿路,36.4240388,135.1931364,镇坪路,36.4332466,135.1855733,7,243,113,33
镇坪路,36.4332466,135.1855733,岚皋路,36.445195,135.17488,7,243,113,33
岚皋路,36.445195,135.17488,新村路,36.4550094,135.1756519,7,243,113,33
新村路,36.4550094,135.1756519,大华三路,36.4680079,135.176158,7,243,113,33
大华三路,36.4680079,135.176158,行知路,36.4823157,135.1745682,7,243,113,33
行知路,36.4823157,135.1745682,大场镇,36.4933155,135.1688771,7,243,113,33
大场镇,36.4933155,135.1688771,场中路,36.5066073,135.1657769,7,243,113,33
场中路,36.5066073,135.1657769,上大路,36.5215116,135.15978,7,243,113,33
上大路,36.5215116,135.15978,南陈路,36.5289896,135.1491476,7,243,113,33
南陈路,36.5289896,135.1491476,上海大学站,36.527737,135.1380959,7,243,113,33
上海大学站,36.527737,135.1380959,祁华路,36.5301351,135.1212462,7,243,113,33
祁华路,36.5301351,135.1212462,顾村公园,36.5592745,135.1203032,7,243,113,33
顾村公园,36.5592745,135.1203032,刘行,36.5759444,135.108699,7,243,113,33
刘行,36.5759444,135.108699,潘广路,36.5847266,135.1013564,7,243,113,33
潘广路,36.5847266,135.1013564,罗南新村,36.6161083,135.1034631,7,243,113,33
罗南新村,36.6161083,135.1034631,美兰湖,36.6335904,135.0948253,7,243,113,33
江杨北路,36.6418508,135.1947811,铁力路,36.6419062,135.2188648,3,250,209,7
铁力路,36.6419062,135.2188648,友谊路,36.6362852,135.235216,3,250,209,7
友谊路,36.6362852,135.235216,宝杨路,36.6250686,135.2392083,3,250,209,7
宝杨路,36.6250686,135.2392083,水产路,36.6066592,135.2487727,3,250,209,7
水产路,36.6066592,135.2487727,淞浜路,36.5929861,135.2539705,3,250,209,7
淞浜路,36.5929861,135.2539705,张华浜,36.5762486,135.2606715,3,250,209,7
张华浜,36.5762486,135.2606715,淞发路,36.5595696,135.2626012,3,250,209,7
淞发路,36.5595696,135.2626012,长江南路,36.5425333,135.2526324,3,250,209,7
长江南路,36.5425333,135.2526324,殷高西路,36.5268263,135.2450998,3,250,209,7
殷高西路,36.5268263,135.2450998,江湾镇,36.5081506,135.2453423,3,250,209,7
江湾镇,36.5081506,135.2453423,大柏树,36.4873334,135.2430908,3,250,209,7
大柏树,36.4873334,135.2430908,赤峰路,36.4768884,135.2423971,3,250,209,7
赤峰路,36.4768884,135.2423971,虹口足球场,36.4645024,135.2386793,3,250,209,7
虹口足球场,36.4645024,135.2386793,东宝兴路,36.4492932,135.239779,3,250,209,7
东宝兴路,36.4492932,135.239779,宝山路,36.4385618,135.2357642,3,250,209,7
宝山路,36.4385618,135.2357642,上海火车站,36.4365683,135.2154163,3,250,209,7
上海火车站,36.4365683,135.2154163,中潭路,36.4431716,135.1961557,3,250,209,7
中潭路,36.4431716,135.1961557,镇坪路,36.4325413,135.1836685,3,250,209,7
镇坪路,36.4325413,135.1836685,曹杨路,36.4231495,135.1703451,3,250,209,7
曹杨路,36.4231495,135.1703451,金沙江路,36.4138254,135.1653308,3,250,209,7
金沙江路,36.4138254,135.1653308,中山公园,36.3951224,135.1680844,3,250,209,7
中山公园,36.3951224,135.1680844,延安西路,36.3846701,135.1695864,3,250,209,7
延安西路,36.3846701,135.1695864,虹桥路,36.3686476,135.173733,3,250,209,7
虹桥路,36.3686476,135.173733,宜山路,36.3550943,135.1804765,3,250,209,7
宜山路,36.3550943,135.1804765,漕溪路,36.3420822,135.193136,3,250,209,7
漕溪路,36.3420822,135.193136,龙漕路,36.3326903,135.1998851,3,250,209,7
龙漕路,36.3326903,135.1998851,石龙路,36.3179064,135.1985802,3,250,209,7
石龙路,36.3179064,135.1985802,上海南站,36.3118821,135.1846792,3,250,209,7
港城路,36.5705865,135.3449875,外高桥保税区北,36.5635634,135.3586764,6,214,24,112
外高桥保税区北,36.5635634,135.3586764,航津路,36.5472489,135.3665733,6,214,24,112
航津路,36.5472489,135.3665733,外高桥保税区南,36.5289934,135.3756175,6,214,24,112
外高桥保税区南,36.5289934,135.3756175,洲海路,36.5174878,135.3614336,6,214,24,112
洲海路,36.5174878,135.3614336,五洲大道,36.5048727,135.3613499,6,214,24,112
五洲大道,36.5048727,135.3613499,东靖路,36.4895475,135.360772,6,214,24,112
东靖路,36.4895475,135.360772,巨峰路,36.4764552,135.3603813,6,214,24,112
巨峰路,36.4764552,135.3603813,五莲路,36.4651834,135.3598959,6,214,24,112
五莲路,36.4651834,135.3598959,博兴路,36.4548811,135.3586416,6,214,24,112
博兴路,36.4548811,135.3586416,金桥路,36.4461131,135.353031,6,214,24,112
金桥路,36.4461131,135.353031,云山路,36.4375183,135.3429456,6,214,24,112
云山路,36.4375183,135.3429456,德平路,36.43104,135.3332157,6,214,24,112
德平路,36.43104,135.3332157,北洋泾路,36.4231737,135.3205871,6,214,24,112
北洋泾路,36.4231737,135.3205871,民生路,36.4186741,135.3102304,6,214,24,112
民生路,36.4186741,135.3102304,源深体育中心,36.4146951,135.3001743,6,214,24,112
源深体育中心,36.4146951,135.3001743,世纪大道,36.409262,135.2918735,6,214,24,112
世纪大道,36.409262,135.2918735,浦电路,36.3978619,135.2941237,6,214,24,112
浦电路,36.3978619,135.2941237,蓝村路,36.3869713,135.2927936,6,214,24,112
蓝村路,36.3869713,135.2927936,上海儿童医学中心,36.3762961,135.2878154,6,214,24,112
上海儿童医学中心,36.3762961,135.2878154,临沂新村,36.3627619,135.2803458,6,214,24,112
临沂新村,36.3627619,135.2803458,高科西路,36.3528395,135.272905,6,214,24,112
高科西路,36.3528395,135.272905,东明路,36.3359606,135.2741204,6,214,24,112
东明路,36.3359606,135.2741204,高青路,36.3191274,135.2794437,6,214,24,112
高青路,36.3191274,135.2794437,华夏西路,36.3066011,135.2781921,6,214,24,112
华夏西路,36.3066011,135.2781921,上南路,36.3055887,135.2690761,6,214,24,112
上南路,36.3055887,135.2690761,灵岩南路,36.3050434,135.2565233,6,214,24,112
灵岩南路,36.3050434,135.2565233,东方体育中心,36.311495,135.2401946,6,214,24,112
虹桥2号航站楼,36.3648491,135.0690528,虹桥1号航站楼,36.3608543,135.0920136,10,188,168,209
虹桥1号航站楼,36.3608543,135.0920136,上海动物园,36.3590073,135.1139405,10,188,168,209
上海动物园,36.3590073,135.1139405,龙溪路,36.3639651,135.1282674,10,188,168,209
