衡山路,36.3788034,135.2025108,1,0
黄陂南路,36.4013636,135.2321639,1,0
上海体育馆,36.3490404,135.1910132,1-4,1
上海火车站,36.4335696,135.2127657,1-3-4,1
东兰路,36.3135102,135.1419219,12,0
北桥,36.1714963,135.161684,5,0
延长路,36.4652517,135.2122319,1,0
淮海中路,36.3980536,135.2220103,13,0
镇坪路,36.4332466,135.1855733,3-4-7,1
马当路,36.3842229,135.2356424,9-13,1
锦江乐园,36.2972063,135.1663539,1,0
大连路,36.4466719,135.2764448,12-4,1
联航路,36.2083783,135.2737225,8,0
成山路,36.333667,135.2576923,8,0
新场,36.1719555,135.4274884,16,0
真北路,36.4131643,135.1309613,13,0
殷高西路,36.5268263,135.2450998,3,0
灵岩南路,36.3050434,135.2565233,6,0
蓝村路,36.3869713,135.2927936,4-6,1
上海体育场,36.3539966,135.1992691,4,0
三林东,36.3024889,135.2877052,11,0
星中路,36.3173338,135.1161382,9,0
航中路,36.3273758,135.1001942,10,0
通河新村,36.5427011,135.1965624,1,0
虹漕路,36.3253656,135.1622234,12,0
顾戴路,36.2950819,135.1421616,12,0
大柏树,36.4873334,135.2430908,3,0
安亭,36.4863469,134.885738,11,0
中华艺术宫,36.3529089,135.255487,8,0
杨高中路,36.4078903,135.3159035,9,0
杨高北路,36.4753515,135.3764635,12,0
临港大道,36.0154355,135.7185773,16,0
浦东大道,36.4234427,135.2836111,4,0
闵行开发区,36.1135624,135.1171669,5,0
曲阳路,36.4705165,135.2513568,8,0
世纪公园,36.3847582,135.3183016,2,0
外高桥保税区北,36.5635634,135.3586764,6,0
嘉定北,36.6200359,134.9696829,11,0
祁连山路,36.4641435,135.1238495,11,0
江苏路,36.3980205,135.186691,11-2,1
周浦东,36.2551341,135.3810389,16,0
延安西路,36.3846701,135.1695864,3-4,1
国权路,36.4876656,135.2732913,10,0
华夏西路,36.3066011,135.2781921,6,0
港城路,36.5705865,135.3449875,6,0
洞泾,36.2222666,134.9618954,9,0
松江大学城,36.1830129,134.96433,9,0
民生路,36.4186741,135.3102304,6,0
大场镇,36.4933155,135.1688771,7,0
文井路,36.1172879,135.129216,5,0
友谊路,36.6362852,135.235216,3,0
德平路,36.43104,135.3332157,6,0
新村路,36.4550094,135.1756519,7,0
中山北路,36.4486824,135.2163761,1,0
宝山路,36.4385618,135.2357642,3-4,1
远东大道,36.3708589,135.5464909,2,0
人民广场,36.4142692,135.2347583,1-8-2,1
刘行,36.5759444,135.108699,7,0
陆家浜路,36.3866749,135.2465441,9-8,1
提篮桥,36.4407341,135.2694364,12,0
上海大学站,36.527737,135.1380959,7,0
交通大学,36.3747438,135.1884852,11-10,1
浦江镇,36.2375362,135.2690028,8,0
黄兴路,36.4736934,135.2929928,8,0
隆昌路,36.4695121,135.3112387,12,0
五莲路,36.4651834,135.3598959,6,0
虹桥1号航站楼,36.3608543,135.0920136,10,0
漕宝路,36.3311285,135.1895288,1-12,1
广兰路,36.3857024,135.396234,2,0
外高桥保税区南,36.5289934,135.3756175,6,0
鲁班路,36.3705213,135.2334891,4,0
汉中路,36.4247903,135.2160864,1-13-12,1
龙溪路,36.3639651,135.1282674,10,0
东方体育中心,36.311495,135.2401946,11-8-6,1
友谊西路,36.607488,135.181555,1,0
新闸路,36.4220216,135.2266022,1,0
张华浜,36.5762486,135.2606715,3,0
泗泾,36.2657126,134.9955636,9,0
上海野生动物园,36.1783162,135.4841803,16,0
花桥,36.4999726,134.8212879,11,0
大华三路,36.4680079,135.176158,7,0
东明路,36.3359606,135.2741204,6,0
合川路,36.3281612,135.1335017,9,0
爱国路,36.475998,135.3208079,12,0
南京西路,36.408997,135.2200871,12-13-2,1
西藏北路,36.4540283,135.2271011,8,0
同济大学,36.4784132,135.2691807,10,0
东靖路,36.4895475,135.360772,6,0
外环路,36.2695344,135.143125,1,0
彭浦新村,36.5104706,135.2046661,1,0
华宁路,36.1222873,135.1451528,5,0
豫园,36.4081667,135.2478626,10,0
延吉中路,36.4868519,135.300745,8,0
罗山路,36.311326,135.3656652,11-16,1
金京路,36.4747827,135.3906927,12,0
南翔,36.4980431,135.0651274,11,0
颛桥,36.1995677,135.1527227,5,0
高科西路,36.3528395,135.272905,7-6,1
江宁路,36.4296065,135.1996254,13,0
七莘路,36.2835978,135.1097337,12,0
